count_start_date,average_daily_car_traffic,neighborhood
3/22/19,23,Central Northside
11/20/18,2475,Morningside
6/13/19,1231,Morningside
10/8/19,7700,East Liberty
12/12/19,5262,Squirrel Hill South
1/14/19,5850,Central Lawrenceville
11/4/19,766,Shadyside
1/14/19,573,Central Lawrenceville
11/22/19,2150,Stanton Heights
6/28/19,15000,Bloomfield
11/14/19,1316,Squirrel Hill South
12/30/19,450,Manchester
12/30/19,877,Central Northside
12/30/19,477,Allegheny West
12/30/19,384,Manchester
12/30/19,1043,Marshall-Shadeland
12/30/19,1105,Manchester
1/23/20,334,Lower Lawrenceville
1/23/20,3138,Lower Lawrenceville
1/23/20,5921,Strip District
1/23/20,1036,Squirrel Hill South
1/23/20,463,Squirrel Hill South
1/17/20,1328,Perry North
2/5/20,223,Squirrel Hill South
2/5/20,1446,Beechview
12/3/20,871,South Side Slopes
2/5/20,2224,Arlington
2/5/20,2347,Arlington
2/5/20,868,Carrick
2/14/20,5357,Homewood North
2/14/20,6446,Homewood South
2/14/20,3819,Homewood South
2/14/20,2253,Homewood South
2/14/20,2651,Point Breeze North
2/14/20,7277,Point Breeze North
3/3/20,1671,Point Breeze
8/21/20,3702,Squirrel Hill South
8/21/20,175,Squirrel Hill South
9/2/20,346,Highland Park
9/2/20,393,Highland Park
9/4/20,79,Bloomfield
8/28/20,493,Brookline
9/16/20,1713,Bloomfield
9/16/20,77,Bloomfield
9/29/20,450,Polish Hill
9/29/20,403,Upper Hill
9/29/20,434,Carrick
9/24/20,58,East Liberty
7/15/20,630,Highland Park
7/15/20,765,Highland Park
7/6/20,447,Carrick
7/15/20,240,Carrick
7/6/20,421,Highland Park
7/15/20,1577,Beltzhoover
7/6/20,79,Highland Park
7/6/20,410,Highland Park
7/27/20,338,Bloomfield
7/27/20,439,Friendship
7/27/20,377,Bloomfield
7/27/20,305,Point Breeze
7/27/20,4732,East Liberty
7/27/20,5804,Larimer
8/6/20,3117,Marshall-Shadeland
8/6/20,2679,Brighton Heights
8/7/20,5259,California-Kirkbride
8/6/20,8112,North Oakland
8/7/20,579,Brookline
8/7/20,8429,Marshall-Shadeland
8/28/20,567,Brookline
8/28/20,277,Brookline
9/15/20,2770,Perry North
9/15/20,177,Perry North
9/15/20,1226,Spring Garden
9/15/20,945,Marshall-Shadeland
2/14/20,6446,Homewood South
2/14/20,5357,Homewood South
2/14/20,3819,Homewood South
2/14/20,2253,Homewood South
2/14/20,7277,Homewood South
2/14/20,2651,Homewood South
11/14/19,317,Highland Park
11/22/19,4016,Stanton Heights
9/29/20,7119,Knoxville
9/29/20,263,Elliott
10/14/20,799,Squirrel Hill South
10/8/20,1061,Marshall-Shadeland
10/6/20,900,Central Lawrenceville
10/27/20,608,Manchester
10/27/20,3190,Central Northside
10/27/20,3913,Carrick
10/27/20,525,Perry North
10/17/20,6291,South Side Slopes
11/4/20,560,Manchester
11/5/20,4182,Perry South
11/5/20,3824,California-Kirkbride
11/5/20,3091,Shadyside
11/5/20,10113,Shadyside
11/5/20,2265,Larimer
11/20/20,577,Greenfield
11/20/20,2183,Hazelwood
11/19/20,63,Spring Hill-City View
11/19/20,419,Fineview
11/19/20,2697,Brighton Heights
12/3/20,115,South Side Flats
12/4/20,6641,Manchester
12/4/20,693,Perry North
12/4/20,2718,Perry North
12/4/20,6191,Perry North
12/15/20,195,Lincoln-Lemington-Belmar
12/15/20,2737,Squirrel Hill South
12/16/20,666,New Homestead
12/15/20,126,Lincoln Place
12/15/20,6417,Carrick
1/8/21,816,Marshall-Shadeland
1/8/21,109,Marshall-Shadeland
1/8/21,5843,California-Kirkbride
1/8/21,5218,Shadyside
1/8/21,9022,Shadyside
1/21/21,7148,Central Oakland
1/24/21,4044,South Side Slopes
1/24/21,2065,South Side Slopes
1/24/21,3116,South Side Slopes
1/22/21,2171,Brighton Heights
2/2/21,4821,Squirrel Hill South
2/2/21,4042,Squirrel Hill South
2/2/21,5649,Squirrel Hill South
2/4/21,4120,Shadyside
2/4/21,7117,Point Breeze
2/4/21,7802,Squirrel Hill North
3/12/21,793,Perry South
3/12/21,157,Perry South
3/24/21,2320,Morningside
3/24/21,462,Morningside
3/24/21,2170,Morningside
3/24/21,3885,Morningside
3/24/21,396,Hazelwood
4/5/21,1352,Sheraden
4/5/21,2571,Chartiers City
4/5/21,1368,Manchester
4/5/21,222,Manchester
4/5/21,550,Manchester
4/15/21,4278,Squirrel Hill South
4/15/21,3891,Squirrel Hill South
4/15/21,1470,Squirrel Hill South
4/15/21,5422,Squirrel Hill South
4/15/21,709,Squirrel Hill South
4/28/21,3834,Shadyside
4/28/21,7572,Shadyside
4/28/21,3738,Shadyside
4/28/21,8025,Brookline
4/28/21,8498,Brookline
4/28/21,7903,Brookline
5/11/21,2421,Homewood South
5/11/21,1670,Homewood North
5/11/21,937,Summer Hill
5/11/21,2523,Spring Hill-City View
6/3/21,2465,East Hills
6/3/21,654,Larimer
6/3/21,2807,Larimer
6/3/21,623,Shadyside
6/3/21,2585,West Oakland
6/3/21,3621,Mount Washington
6/15/21,1817,South Side Slopes
6/29/21,5605,Greenfield
6/15/21,809,Central Northside
7/9/21,910,Bloomfield
7/9/21,271,Bloomfield
7/9/21,3454,Central Lawrenceville
